200,0.2,50,8,113
132,39,14
59,55,28
158,177,29
79,33,10
143,197,20
116,180,11
142,89,40
93,196,14
194,99,2
173,76,2
146,59,43
119,105,5
159,178,1
192,175,22
56,165,6
43,195,4
170,7,27
116,36,21
147,23,29
45,12,29
17,179,4
50,127,42
91,128,23
108,68,41
73,110,39
60,140,47
193,175,10
167,123,35
79,10,42
24,74,47
190,106,19
106,143,8
188,182,23
181,57,25
167,159,20
158,190,26
36,84,26
49,103,47
151,150,4
199,83,44
30,125,7
71,163,39
185,148,26
89,31,38
189,118,4
1,67,39
162,21,36
67,49,12
99,81,7
44,145,36
79,23,44
64,123,24
196,50,33
128,144,3
162,57,46
40,31,40
3,149,49
116,26,21
135,39,22
86,183,29
173,151,29
139,9,20
44,37,7
91,118,41
82,149,10
55,195,4
62,91,6
72,104,20
23,99,18
24,64,25
105,138,21
90,9,6
42,198,42
189,131,17
33,149,30
53,127,28
100,59,5
111,68,5
177,13,46
49,93,34
123,42,17
75,2,21
176,54,47
40,44,4
66,182,40
67,147,46
120,153,32
98,134,8
191,33,30
35,194,29
161,190,40
134,173,21
74,42,4
83,127,45
155,152,25
60,143,38
106,110,25
64,113,45
163,92,27
28,47,6
54,185,46
98,111,15
90,107,49
156,52,49
142,154,21
134,150,24
147,3,15
199,50,32
63,126,4
174,142,19
6,149,26
153,19,46
99,48,27
135,150,6
1,70,50
33,139,6
20,169,35
53,117,50
58,52,48
115,28,15
193,96,41
144,91,4
36,149,46
29,110,15
0,83,26
9,168,46
1,47,50
30,190,26
12,178,8
92,58,11
32,156,23
152,72,36
184,141,17
196,115,49
48,100,37
18,108,5
179,62,5
12,34,35
68,194,16
150,4,39
96,33,42
40,132,1
161,13,22
52,106,2
144,189,47
57,41,50
109,88,42
168,137,42
151,84,24
18,85,4
19,50,14
78,136,15
65,166,36
191,13,31
190,197,11
77,140,43
102,84,10
54,44,46
6,116,5
58,163,3
23,56,33
177,114,40
131,147,23
164,144,16
115,139,23
81,146,24
34,71,30
133,193,15
194,23,4
139,87,50
11,167,1
37,76,38
111,25,39
